,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
0,0,a1001,b2328,black and white rainbows,bush,Mar 10 2017,black and white rainbows,bush,Mar 10 2017
1,1,a1001,b238,black and white rainbows,bush,Mar 10 2017,man on the run,bush,Oct 21 2014
2,2,a1004,b2330,different creatures,circa waves,Mar 10 2017,different creatures,circa waves,Mar 10 2017
3,3,a1004,b494,different creatures,circa waves,Mar 10 2017,young chasers,circa waves,Mar 30 2015
4,4,a1005,b2355,jawbone [original motion picture soundtrack],paul weller,Mar 10 2017,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017
5,5,a1005,b2675,jawbone [original motion picture soundtrack],paul weller,Mar 10 2017,a kind revolution,paul weller,May 12 2017
6,6,a1009,b2350,elektrac,shobaleader one,Mar 10 2017,elektrac,shobaleader one,Mar 10 2017
7,7,a1010,b2358,packs,your old droog,Mar 10 2017,packs,your old droog,Mar 10 2017
8,8,a1010,b324,packs,your old droog,Mar 10 2017,your old droog,your old droog,Nov 25 2014
9,9,a1012,b2346,captain california,murs,Mar 10 2017,captain california,murs,Mar 10 2017
10,10,a1013,b1230,number 1 angel [mixtape],charli xcx,Mar 10 2017,vroom vroom,charli xcx,Feb 26 2016
11,11,a1013,b2329,number 1 angel [mixtape],charli xcx,Mar 10 2017,number 1 angel,charli xcx,Mar 10 2017
12,12,a1013,b3182,number 1 angel [mixtape],charli xcx,Mar 10 2017,pop 2,charli xcx,Dec 15 2017
13,13,a1013,b341,number 1 angel [mixtape],charli xcx,Mar 10 2017,sucker,charli xcx,Dec 15 2014
14,14,a1015,b2308,wired,mallory knox,Mar 10 2017,wired,mallory knox,Mar 3 2017
15,15,a102,b3132,synthesis,evanescence,Nov 10 2017,synthesis,evanescence,Nov 10 2017
16,16,a1020,b1422,paradise,jenn grant,Mar 10 2017,paradise,white lung,May 6 2016
17,17,a1020,b2365,paradise,jenn grant,Mar 10 2017,paradise,anohni,Mar 17 2017
18,18,a1022,b2304,solide mirage,françois & the atlas mountains,Mar 3 2017,season of the witch,john 5 and the creatures,Mar 3 2017
19,19,a1022,b2311,solide mirage,françois & the atlas mountains,Mar 3 2017,voids,minus the bear,Mar 3 2017
20,20,a1022,b2312,solide mirage,françois & the atlas mountains,Mar 3 2017,two devils will talk,the real mckenzies,Mar 3 2017
21,21,a1022,b2317,solide mirage,françois & the atlas mountains,Mar 3 2017,halfway human,within the ruins,Mar 3 2017
22,22,a1023,b2313,english tapas,sleaford mods,Mar 3 2017,english tapas,sleaford mods,Mar 3 2017
23,23,a1023,b745,english tapas,sleaford mods,Mar 3 2017,key markets,sleaford mods,Jul 24 2015
24,24,a1024,b2294,world eater,blanck mass,Mar 3 2017,world eater,blanck mass,Mar 3 2017
25,25,a1026,b2301,last place,grandaddy,Mar 3 2017,last place,grandaddy,Mar 3 2017
26,26,a1027,b2314,volcano,temples,Mar 3 2017,volcano,temples,Mar 3 2017
27,27,a1029,b2316,moh lhean,why?,Mar 3 2017,moh lhean,why?,Mar 3 2017
28,28,a103,b1972,master of puppets [remastered & expanded edition],metallica,Nov 10 2017,hardwired... to self-destruct,metallica,Nov 18 2016
29,29,a1031,b2299,divide,ed sheeran,Mar 3 2017,÷,ed sheeran,Mar 3 2017
30,30,a1032,b2304,voids,minus the bear,Mar 3 2017,season of the witch,john 5 and the creatures,Mar 3 2017
31,31,a1032,b2311,voids,minus the bear,Mar 3 2017,voids,minus the bear,Mar 3 2017
32,32,a1032,b2312,voids,minus the bear,Mar 3 2017,two devils will talk,the real mckenzies,Mar 3 2017
33,33,a1032,b2317,voids,minus the bear,Mar 3 2017,halfway human,within the ruins,Mar 3 2017
34,34,a1034,b2304,the best of the dualtone years,guy clark,Mar 3 2017,season of the witch,john 5 and the creatures,Mar 3 2017
35,35,a1036,b2310,everything is forgotten,methyl ethel,Mar 3 2017,everything is forgotten,methyl ethel,Mar 3 2017
36,36,a1037,b2297,freedom is free,chicano batman,Mar 3 2017,freedom is free,chicano batman,Mar 3 2017
37,37,a1041,b2595,pleasure,sondre lerche,Mar 3 2017,pleasure,feist,Apr 28 2017
38,38,a1044,b2256,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
39,39,a1044,b2260,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,in between,the feelies,Feb 24 2017
40,40,a1044,b2263,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,still // alone,the golden filter,Feb 24 2017
41,41,a1044,b2266,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017
42,42,a1044,b2272,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,tardigrades will inherit the earth,the mute gods,Feb 24 2017
43,43,a1044,b2843,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017
44,44,a1044,b3146,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,polygondwanaland,king gizzard & the lizard wizard,Nov 17 2017
45,45,a1044,b3188,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,gumboot soup,king gizzard & the lizard wizard,Dec 31 2017
46,46,a1045,b2268,sick scenes,los campesinos!,Feb 24 2017,sick scenes,los campesinos!,Feb 24 2017
47,47,a1046,b2277,why love now,pissed jeans,Feb 24 2017,why love now,pissed jeans,Feb 24 2017
48,48,a1047,b2255,crystal fairy,crystal fairy,Feb 24 2017,crystal fairy,crystal fairy,Feb 24 2017
49,49,a1048,b2253,burning the threshold,six organs of admittance,Feb 24 2017,the eternal reign,born of osiris,Feb 24 2017
50,50,a1048,b2256,burning the threshold,six organs of admittance,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
51,51,a1048,b422,burning the threshold,six organs of admittance,Feb 24 2017,hexadic,six organs of admittance,Feb 17 2015
52,52,a1049,b2256,in between,the feelies,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
53,53,a1049,b2260,in between,the feelies,Feb 24 2017,in between,the feelies,Feb 24 2017
54,54,a1049,b2263,in between,the feelies,Feb 24 2017,still // alone,the golden filter,Feb 24 2017
55,55,a1049,b2266,in between,the feelies,Feb 24 2017,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017
56,56,a1049,b2272,in between,the feelies,Feb 24 2017,tardigrades will inherit the earth,the mute gods,Feb 24 2017
57,57,a105,b2562,from the fires,greta van fleet,Nov 10 2017,black smoke rising,greta van fleet,Apr 21 2017
58,58,a1051,b2280,freedom highway,rhiannon giddens,Feb 24 2017,freedom highway,rhiannon giddens,Feb 24 2017
59,59,a1052,b1368,forget,xiu xiu,Feb 24 2017,xiu xiu plays the music of twin peaks,xiu xiu,Apr 16 2016
60,60,a1052,b2288,forget,xiu xiu,Feb 24 2017,forget,xiu xiu,Feb 24 2017
61,61,a1054,b2275,graveyard whistling,old 97's,Feb 24 2017,graveyard whistling,old 97's,Feb 24 2017
62,62,a1059,b2287,drunk,thundercat,Feb 24 2017,drunk,thundercat,Feb 24 2017
63,63,a1061,b2284,gang signs & prayer,stormzy,Feb 24 2017,gang signs & prayer,stormzy,Feb 24 2017
64,64,a1062,b2240,common as light and love are red valleys of blood,sun kil moon,Feb 24 2017,common as light and love are red valleys of blood,sun kil moon,Feb 17 2017
65,65,a1062,b650,common as light and love are red valleys of blood,sun kil moon,Feb 24 2017,universal themes,sun kil moon,Jun 2 2015
66,66,a1063,b2267,the  breaker,little big town,Feb 24 2017,the breaker,little big town,Feb 24 2017
67,67,a1063,b240,the  breaker,little big town,Feb 24 2017,pain killer,little big town,Oct 21 2014
68,68,a1070,b2253,children of alice,children of alice,Feb 24 2017,the eternal reign,born of osiris,Feb 24 2017
69,69,a1070,b2256,children of alice,children of alice,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
70,70,a1071,b2274,the iceberg,oddisee,Feb 24 2017,the iceberg,oddisee,Feb 24 2017
71,71,a1072,b2256,don't get lost,the brian jonestown massacre,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
72,72,a1072,b2260,don't get lost,the brian jonestown massacre,Feb 24 2017,in between,the feelies,Feb 24 2017
73,73,a1072,b2263,don't get lost,the brian jonestown massacre,Feb 24 2017,still // alone,the golden filter,Feb 24 2017
74,74,a1072,b2266,don't get lost,the brian jonestown massacre,Feb 24 2017,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017
75,75,a1072,b2272,don't get lost,the brian jonestown massacre,Feb 24 2017,tardigrades will inherit the earth,the mute gods,Feb 24 2017
76,76,a1072,b570,don't get lost,the brian jonestown massacre,Feb 24 2017,musique de film imaginé,the brian jonestown massacre,Apr 27 2015
77,77,a1073,b2226,hndrxx,future,Feb 24 2017,future,future,Feb 17 2017
78,78,a1073,b2261,hndrxx,future,Feb 24 2017,hndrxx,future,Feb 24 2017
79,79,a1073,b727,hndrxx,future,Feb 24 2017,ds2,future,Jul 17 2015
80,80,a1074,b2253,youngish american,dams of the west,Feb 24 2017,the eternal reign,born of osiris,Feb 24 2017
81,81,a1074,b2256,youngish american,dams of the west,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
82,82,a1074,b2260,youngish american,dams of the west,Feb 24 2017,in between,the feelies,Feb 24 2017
83,83,a1074,b2263,youngish american,dams of the west,Feb 24 2017,still // alone,the golden filter,Feb 24 2017
84,84,a1074,b2266,youngish american,dams of the west,Feb 24 2017,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017
85,85,a1074,b2272,youngish american,dams of the west,Feb 24 2017,tardigrades will inherit the earth,the mute gods,Feb 24 2017
86,86,a1077,b2273,nav,nav,Feb 24 2017,nav,nav,Feb 24 2017
87,87,a1081,b2247,dirty projectors,dirty projectors,Feb 21 2017,dirty projectors,dirty projectors,Feb 21 2017
88,88,a1082,b2248,rosebudd's revenge,roc marciano,Feb 21 2017,rosebudd's revenge,roc marciano,Feb 21 2017
89,89,a1083,b2234,highway queen,nikki lane,Feb 17 2017,highway queen,nikki lane,Feb 17 2017
90,90,a1084,b2242,dumb blood,vant,Feb 17 2017,dumb blood,vant,Feb 17 2017
91,91,a1086,b114,prisoner,ryan adams,Feb 17 2017,ryan adams,ryan adams,Sep 8 2014
92,92,a1086,b2238,prisoner,ryan adams,Feb 17 2017,prisoner,ryan adams,Feb 17 2017
93,93,a1087,b2220,big balloon,dutch uncles,Feb 17 2017,big balloon,dutch uncles,Feb 17 2017
94,94,a1088,b2228,life will see you now,jens lekman,Feb 17 2017,life will see you now,jens lekman,Feb 17 2017
95,95,a1090,b2117,silhouette,aquilo,Feb 17 2017,silhouettes,aquilo,Jan 27 2017
96,96,a1091,b2239,hard love,strand of oaks,Feb 17 2017,hard love,strand of oaks,Feb 17 2017
97,97,a1093,b2241,saturday night,tim darcy,Feb 17 2017,lost in the ghost light,tim bowness,Feb 17 2017
98,98,a1094,b2236,terrible human beings,the orwells,Feb 17 2017,terrible human beings,the orwells,Feb 17 2017
99,99,a1094,b2237,terrible human beings,the orwells,Feb 17 2017,2016 atomized,the raveonettes,Feb 17 2017
100,100,a1099,b2232,no home of the mind,bing & ruth,Feb 17 2017,songs of the latin skies,katie noonan and karin schaupp,Feb 17 2017
101,101,a11,b938,blue madonna,bØrns,Jan 12 2018,dopamine,bØrns,Oct 16 2015
102,102,a1101,b2225,enter the kingdom,frontier ruckus,Feb 17 2017,enter the kingdom,frontier ruckus,Feb 17 2017
103,103,a1102,b2226,future,future,Feb 17 2017,future,future,Feb 17 2017
104,104,a1102,b2261,future,future,Feb 17 2017,hndrxx,future,Feb 24 2017
105,105,a1102,b727,future,future,Feb 17 2017,ds2,future,Jul 17 2015
106,106,a1103,b2229,the  chief,jidenna,Feb 17 2017,the chief,jidenna,Feb 17 2017
107,107,a1104,b2240,field of love,mozart's sister,Feb 17 2017,common as light and love are red valleys of blood,sun kil moon,Feb 17 2017
108,108,a1105,b2236,the courtneys ii,the courtneys,Feb 17 2017,terrible human beings,the orwells,Feb 17 2017
109,109,a1105,b2237,the courtneys ii,the courtneys,Feb 17 2017,2016 atomized,the raveonettes,Feb 17 2017
110,110,a1106,b2240,an act of love,earthen sea,Feb 17 2017,common as light and love are red valleys of blood,sun kil moon,Feb 17 2017
111,111,a1108,b2213,windy city,alison krauss,Feb 17 2017,windy city,alison krauss,Feb 17 2017
112,112,a1110,b2223,plata o plomo,fat joe,Feb 17 2017,plata o plomo,fat joe and remy ma,Feb 17 2017
113,113,a1114,b2243,reassemblage,visible cloaks,Feb 17 2017,reassemblage,visible cloaks,Feb 17 2017
114,114,a1115,b2222,i'm only dreaming,eisley,Feb 17 2017,i'm only dreaming,eisley,Feb 17 2017
115,115,a1116,b1752,new order presents be music,various artists,Feb 17 2017,trolls: original motion picture soundtrack,various artists,Sep 23 2016
116,116,a1116,b1953,new order presents be music,various artists,Feb 17 2017,christmas queens 2,various artists,Nov 11 2016
117,117,a1116,b2003,new order presents be music,various artists,Feb 17 2017,the hamilton mixtape,various artists,Dec 2 2016
118,118,a1116,b2108,new order presents be music,various artists,Feb 17 2017,"she rocks, vol. 1",various artists,Jan 20 2017
119,119,a1116,b2205,new order presents be music,various artists,Feb 17 2017,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017
120,120,a1116,b2355,new order presents be music,various artists,Feb 17 2017,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017
121,121,a1116,b2541,new order presents be music,various artists,Feb 17 2017,the fate of the furious: the album,various artists,Apr 14 2017
122,122,a1116,b2574,new order presents be music,various artists,Feb 17 2017,guardians of the galaxy vol. 2,various artists,Apr 21 2017
123,123,a1116,b2652,new order presents be music,various artists,Feb 17 2017,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017
124,124,a1116,b2892,new order presents be music,various artists,Feb 17 2017,punk goes pop vol. 7,various artists,Jul 14 2017
125,125,a1116,b301,new order presents be music,various artists,Feb 17 2017,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014
126,126,a1116,b3178,new order presents be music,various artists,Feb 17 2017,quality control: control the streets volume 1,various artists,Dec 8 2017
127,127,a1116,b320,new order presents be music,various artists,Feb 17 2017,i'll be home for christmas,various artists,Nov 24 2014
128,128,a1116,b321,new order presents be music,various artists,Feb 17 2017,shady xv,various artists,Nov 24 2014
129,129,a1117,b2197,human,rag 'n' bone man,Feb 10 2017,human,rag'n'bone man,Feb 10 2017
130,130,a1117,b510,human,rag 'n' bone man,Feb 10 2017,human,three days grace,Mar 31 2015
131,131,a112,b3121,the dusk in us,converge,Nov 3 2017,the dusk in us,converge,Nov 3 2017
132,132,a1121,b2187,memories are now,jesca hoop,Feb 10 2017,memories are now,jesca hoop,Feb 10 2017
133,133,a1122,b2185,bobby fuller died for your sins,chuck prophet,Feb 10 2017,bobby fuller died for your sins,chuck prophet,Feb 10 2017
134,134,a1124,b2181,northern passages,the sadies,Feb 10 2017,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017
135,135,a1125,b583,ii,vermont,Feb 10 2017,ii,metz,May 4 2015
136,136,a1126,b2200,temple of i & i,thievery corporation,Feb 10 2017,the temple of i & i,thievery corporation,Feb 10 2017
137,137,a1128,b2189,drogas light,lupe fiasco,Feb 10 2017,drogas light,lupe fiasco,Feb 10 2017
138,138,a1128,b370,drogas light,lupe fiasco,Feb 10 2017,tetsuo & youth,lupe fiasco,Jan 20 2015
139,139,a1129,b2181,backlash,black joe lewis & the honeybears,Feb 10 2017,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017
140,140,a113,b3128,the  thrill of it all,sam smith,Nov 3 2017,the thrill of it all,sam smith,Nov 3 2017
141,141,a1130,b2181,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017
142,142,a1131,b2181,unfold,the necks,Feb 10 2017,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017
143,143,a1136,b2181,a big bad beautiful noise,the godfathers,Feb 10 2017,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017
144,144,a1137,b2182,blackfield v,blackfield,Feb 10 2017,blackfield v,blackfield,Feb 10 2017
145,145,a1139,b2195,the grinding wheel,overkill,Feb 10 2017,the grinding wheel,overkill,Feb 10 2017
146,146,a114,b2545,revelations,shamir,Nov 3 2017,hope,shamir,Apr 17 2017
147,147,a114,b618,revelations,shamir,Nov 3 2017,ratchet,shamir,May 19 2015
148,148,a1140,b2155,bury me in philly,dave hause,Feb 3 2017,bury me in philly,dave hause,Feb 3 2017
149,149,a1141,b2158,little fictions,elbow,Feb 3 2017,little fictions,elbow,Feb 3 2017
150,150,a1143,b2171,process,sampha,Feb 3 2017,process,sampha,Feb 3 2017
151,151,a1144,b2170,"occult architecture, vol. 1",moon duo,Feb 3 2017,"remember me: essential, vol. 1",rupaul,Feb 3 2017
152,152,a1146,b2173,snowdonia,surfer blood,Feb 3 2017,snowdonia,surfer blood,Feb 3 2017
153,153,a1147,b2165,after the party,the menzingers,Feb 3 2017,testify ep,the knocks,Feb 3 2017
154,154,a1147,b2167,after the party,the menzingers,Feb 3 2017,after the party,the menzingers,Feb 3 2017
155,155,a1150,b1391,sound the alarm [ep],less than jake,Feb 3 2017,live from astoria,less than jake,Apr 29 2016
156,156,a1150,b2166,sound the alarm [ep],less than jake,Feb 3 2017,safe in sound,lower than atlantis,Feb 3 2017
157,157,a1151,b2154,heavy fire,black star riders,Feb 3 2017,heavy fire,black star riders,Feb 3 2017
158,158,a1152,b2161,crossover ministry,iron reagan,Feb 3 2017,crossover ministry,iron reagan,Feb 3 2017
159,159,a1153,b2160,fresh air,homeshake,Feb 3 2017,fresh air,homeshake,Feb 3 2017
160,160,a1153,b2634,fresh air,homeshake,Feb 3 2017,fresh air,faust,May 5 2017
161,161,a1154,b2152,i decided.,big sean,Feb 3 2017,i decided.,big sean,Feb 3 2017
162,162,a1154,b2153,i decided.,big sean,Feb 3 2017,grace street,big wreck,Feb 3 2017
163,163,a1154,b429,i decided.,big sean,Feb 3 2017,dark sky paradise,big sean,Feb 24 2015
164,164,a1156,b280,blue,communions,Feb 3 2017,blue,iamamiwhoami,Nov 7 2014
165,165,a1157,b2175,fin,syd,Feb 3 2017,fin,syd,Feb 3 2017
166,166,a1157,b2992,fin,syd,Feb 3 2017,always never home,syd,Sep 8 2017
167,167,a116,b3111,scream above the sounds,stereophonics,Nov 3 2017,scream above the sounds,stereophonics,Oct 27 2017
168,168,a116,b849,scream above the sounds,stereophonics,Nov 3 2017,keep the village alive,stereophonics,Sep 11 2015
169,169,a1160,b193,safe in sound,lower than atlantis,Feb 3 2017,lower than atlantis,lower than atlantis,Oct 6 2014
170,170,a1160,b2166,safe in sound,lower than atlantis,Feb 3 2017,safe in sound,lower than atlantis,Feb 3 2017
171,171,a1163,b2063,not even happiness,julie byrne,Jan 27 2017,not even happiness,julie byrne,Jan 13 2017
172,172,a1164,b2122,life without sound,cloud nothings,Jan 27 2017,life without sound,cloud nothings,Jan 27 2017
173,173,a1169,b2125,near to the wild heart of life,japandroids,Jan 27 2017,return to the sauce,infected mushroom,Jan 27 2017
174,174,a1169,b2127,near to the wild heart of life,japandroids,Jan 27 2017,near to the wild heart of life,japandroids,Jan 27 2017
175,175,a1169,b2143,near to the wild heart of life,japandroids,Jan 27 2017,the continuous evilution of life's ?'s,twiztid,Jan 27 2017
176,176,a117,b100,red pill blues,maroon 5,Nov 3 2017,v,maroon 5,Aug 29 2014
177,177,a117,b3127,red pill blues,maroon 5,Nov 3 2017,red pill blues,maroon 5,Nov 3 2017
178,178,a1170,b2101,lemon memory,menace beach,Jan 27 2017,lemon memory,menace beach,Jan 20 2017
179,179,a1171,b2127,the pace of the passing,toothless,Jan 27 2017,near to the wild heart of life,japandroids,Jan 27 2017
180,180,a1171,b2143,the pace of the passing,toothless,Jan 27 2017,the continuous evilution of life's ?'s,twiztid,Jan 27 2017
181,181,a1172,b1133,ty segall (2017),ty segall,Jan 27 2017,emotional mugger,ty segall,Jan 22 2016
182,182,a1172,b2144,ty segall (2017),ty segall,Jan 27 2017,ty segall,ty segall,Jan 27 2017
183,183,a1172,b97,ty segall (2017),ty segall,Jan 27 2017,manipulator,ty segall,Aug 28 2014
184,184,a1174,b1150,return to ommadawn,mike oldfield,Jan 27 2017,the 1984 suite,mike oldfield,Jan 29 2016
185,185,a1174,b2103,return to ommadawn,mike oldfield,Jan 27 2017,return to ommadawn,mike oldfield,Jan 20 2017
186,186,a1174,b2125,return to ommadawn,mike oldfield,Jan 27 2017,return to the sauce,infected mushroom,Jan 27 2017
187,187,a1175,b2115,tourist in this town,allison crutchfield,Jan 27 2017,tourist in this town,allison crutchfield,Jan 27 2017
188,188,a1176,b2127,stitch of the world,tift merritt,Jan 27 2017,near to the wild heart of life,japandroids,Jan 27 2017
189,189,a1176,b2143,stitch of the world,tift merritt,Jan 27 2017,the continuous evilution of life's ?'s,twiztid,Jan 27 2017
190,190,a1177,b373,live in paris,sleater-kinney,Jan 27 2017,no cities to love,sleater-kinney,Jan 20 2015
191,191,a1178,b2138,nothing feels natural,priests,Jan 27 2017,nothing feels natural,priests,Jan 27 2017
192,192,a1182,b2129,sweetsexysavage,kehlani,Jan 27 2017,sweetsexysavage,kehlani,Jan 27 2017
193,193,a1183,b294,myths 002 [ep],ariel pink,Jan 27 2017,pom pom,ariel pink,Nov 17 2014
194,194,a1183,b3000,myths 002 [ep],ariel pink,Jan 27 2017,dedicated to bobby jameson,ariel pink,Sep 15 2017
195,195,a1184,b2135,c u l t u r e,migos,Jan 27 2017,culture,migos,Jan 27 2017
196,196,a1184,b756,c u l t u r e,migos,Jan 27 2017,yung rich nation,migos,Jul 31 2015
197,197,a1190,b2131,gods of violence,kreator,Jan 27 2017,gods of violence,kreator,Jan 27 2017
198,198,a1191,b2127,prick of the litter,delbert mcclinton,Jan 27 2017,near to the wild heart of life,japandroids,Jan 27 2017
199,199,a1191,b2143,prick of the litter,delbert mcclinton,Jan 27 2017,the continuous evilution of life's ?'s,twiztid,Jan 27 2017
200,200,a1192,b2121,all these countless nights,deaf havana,Jan 27 2017,after all these years,brian & jenn johnson,Jan 27 2017
201,201,a1192,b2123,all these countless nights,deaf havana,Jan 27 2017,all these countless nights,deaf havana,Jan 27 2017
202,202,a1193,b2141,chris thile & brad mehldau,chris thile,Jan 27 2017,elegy,"theo bleckmann with ben monder, shai maestro, chris tordini, john hollenbeck",Jan 27 2017
203,203,a1194,b2145,south texas suite [ep],whitney rose,Jan 27 2017,south texas suite,whitney rose,Jan 27 2017
204,204,a1195,b2134,dj-kicks,matthew dear,Jan 27 2017,piano song,matthew shipp trio,Jan 27 2017
205,205,a1199,b1959,close your eyes,bic runga,Jan 27 2017,close your eyes,bic runga,Nov 18 2016
206,206,a12,b1836,post-,jeff rosenstock,Jan 2 2018,worry.,jeff rosenstock,Oct 14 2016
207,207,a1202,b2128,talk about that,john mayall,Jan 27 2017,"no rain, no rose",john craigie,Jan 27 2017
208,208,a1202,b2141,talk about that,john mayall,Jan 27 2017,elegy,"theo bleckmann with ben monder, shai maestro, chris tordini, john hollenbeck",Jan 27 2017
209,209,a1203,b2137,"chill, dummy",p.o.s,Jan 27 2017,"chill, dummy",p.o.s,Jan 27 2017
210,210,a1205,b2134,piano song,matthew shipp,Jan 27 2017,piano song,matthew shipp trio,Jan 27 2017
211,211,a1207,b2102,intoxicated women,mick harvey,Jan 20 2017,intoxicated women,mick harvey,Jan 20 2017
212,212,a1208,b1780,epoch,tycho,Jan 20 2017,epoch,tycho,Sep 30 2016
213,213,a1209,b2088,future politics,austra,Jan 20 2017,future politics,austra,Jan 20 2017
214,214,a1210,b2093,hang,foxygen,Jan 20 2017,hang,foxygen,Jan 20 2017
215,215,a1210,b215,hang,foxygen,Jan 20 2017,...and star power,foxygen,Oct 14 2014
216,216,a1210,b261,hang,foxygen,Jan 20 2017,hang,lagwagon,Oct 28 2014
217,217,a1212,b2085,afi (the blood album),afi,Jan 20 2017,afi,afi,Jan 20 2017
218,218,a1213,b1517,50,michael chapman,Jan 20 2017,50,rick astley,Jun 10 2016
219,219,a1214,b2094,foxhole,the proper ornaments,Jan 20 2017,modern ruin,frank carter & the rattlesnakes,Jan 20 2017
220,220,a1215,b2109,a shadow in time,william basinski,Jan 20 2017,a shadow in time,william basinski,Jan 20 2017
221,221,a1216,b2094,modern ruin,frank carter & the rattlesnakes,Jan 20 2017,modern ruin,frank carter & the rattlesnakes,Jan 20 2017
222,222,a1219,b2089,apocalipstick,cherry glazerr,Jan 20 2017,apocalipstick,cherry glazerr,Jan 20 2017
223,223,a1222,b2100,yesterday's gone,loyle carner,Jan 20 2017,yesterday's gone,loyle carner,Jan 20 2017
224,224,a1228,b195,iris [original motion picture soundtrack],a winged victory for the sullen,Jan 13 2017,atomos,a winged victory for the sullen,Oct 6 2014
225,225,a1228,b2057,iris [original motion picture soundtrack],a winged victory for the sullen,Jan 13 2017,oczy mlody,the flaming lips,Jan 13 2017
226,226,a1228,b2064,iris [original motion picture soundtrack],a winged victory for the sullen,Jan 13 2017,endless,the mcclymonts,Jan 13 2017
227,227,a1228,b2070,iris [original motion picture soundtrack],a winged victory for the sullen,Jan 13 2017,feel your feelings fool!,the regrettes,Jan 13 2017
228,228,a1228,b2078,iris [original motion picture soundtrack],a winged victory for the sullen,Jan 13 2017,i see you,the xx,Jan 13 2017
229,229,a1229,b2057,oczy mlody,the flaming lips,Jan 13 2017,oczy mlody,the flaming lips,Jan 13 2017
230,230,a1229,b2064,oczy mlody,the flaming lips,Jan 13 2017,endless,the mcclymonts,Jan 13 2017
231,231,a1229,b2070,oczy mlody,the flaming lips,Jan 13 2017,feel your feelings fool!,the regrettes,Jan 13 2017
232,232,a1229,b2078,oczy mlody,the flaming lips,Jan 13 2017,i see you,the xx,Jan 13 2017
233,233,a1229,b260,oczy mlody,the flaming lips,Jan 13 2017,with a little help from my fwends,the flaming lips,Oct 28 2014
234,234,a123,b1444,"trouble no more: the bootleg series, vol. 13 1979-1981",bob dylan,Nov 3 2017,fallen angels,bob dylan,May 20 2016
235,235,a123,b1932,"trouble no more: the bootleg series, vol. 13 1979-1981",bob dylan,Nov 3 2017,the 1966 live recordings,bob dylan,Nov 11 2016
236,236,a123,b2431,"trouble no more: the bootleg series, vol. 13 1979-1981",bob dylan,Nov 3 2017,triplicate,bob dylan,Mar 31 2017
237,237,a123,b393,"trouble no more: the bootleg series, vol. 13 1979-1981",bob dylan,Nov 3 2017,shadows in the night,bob dylan,Feb 3 2015
238,238,a1230,b2057,i see you,the xx,Jan 13 2017,oczy mlody,the flaming lips,Jan 13 2017
239,239,a1230,b2064,i see you,the xx,Jan 13 2017,endless,the mcclymonts,Jan 13 2017
240,240,a1230,b2070,i see you,the xx,Jan 13 2017,feel your feelings fool!,the regrettes,Jan 13 2017
241,241,a1230,b2078,i see you,the xx,Jan 13 2017,i see you,the xx,Jan 13 2017
242,242,a1230,b302,i see you,the xx,Jan 13 2017,i see you,gong,Nov 18 2014
243,243,a1231,b2075,rennen,sohn,Jan 13 2017,rennen,sohn,Jan 13 2017
244,244,a1233,b2058,"gentlewoman, ruby man",flo morrissey,Jan 13 2017,"gentlewoman, ruby man",flo morrissey and matthew e. white,Jan 13 2017
245,245,a1234,b2053,migration,bonobo,Jan 13 2017,migration,bonobo,Jan 13 2017
246,246,a1236,b2074,machine messiah,sepultura,Jan 13 2017,machine messiah,sepultura,Jan 13 2017
247,247,a1237,b2054,forever,code orange,Jan 13 2017,forever,code orange,Jan 13 2017
248,248,a1237,b253,forever,code orange,Jan 13 2017,forever,mystery skulls,Oct 27 2014
