,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
345,345,345,a2746,b971,mirrors,reverend & the makers,Oct 30 2015,hate me,escape the fate,Oct 30 2015,0
138,138,138,a1301,b2892,pop ambient 2017,various artists,Nov 25 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
212,212,212,a1752,b1626,tonight's music,the moles,Aug 12 2016,home of the strange,young the giant,Aug 12 2016,0
104,104,104,a1046,b2277,why love now,pissed jeans,Feb 24 2017,why love now,pissed jeans,Feb 24 2017,1
350,350,350,a281,b1346,gossip,sleeping with sirens,Sep 22 2017,live and unplugged,sleeping with sirens,Apr 8 2016,0
346,346,346,a2759,b958,divers,joanna newsom,Oct 23 2015,divers,joanna newsom,Oct 23 2015,1
351,351,351,a281,b473,gossip,sleeping with sirens,Sep 22 2017,madness,sleeping with sirens,Mar 17 2015,0
215,215,215,a1776,b60,morning report,arkells,Aug 5 2016,high noon,arkells,Aug 5 2014,0
385,385,385,a337,b294,dedicated to bobby jameson,ariel pink,Sep 15 2017,pom pom,ariel pink,Nov 17 2014,0
189,189,189,a1604,b1723,hard ii love,usher,Sep 16 2016,hard ii love,usher,Sep 16 2016,1
214,214,214,a1767,b1617,guidance,russian circles,Aug 5 2016,guidance,russian circles,Aug 5 2016,1
204,204,204,a1705,b2033,winter,new model army,Aug 26 2016,winter,akdong musician,Jan 3 2017,0
234,234,234,a1895,b1538,muzik,delorean,Jun 22 2016,muzik,delorean,Jun 22 2016,1
259,259,259,a2126,b2574,dj koze presents pampa vol. 1,various artists,Apr 29 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
67,67,67,a317,b3024,brand new abyss,the blow,Sep 22 2017,wonderful wonderful,the killers,Sep 22 2017,0
24,24,24,a1924,b1507,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
216,216,216,a1787,b2574,running the voodoo down: explorations in psychrockfunksouljazz 1967-1980,various artists,Aug 5 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
223,223,223,a1801,b2836,major key,dj khaled,Jul 29 2016,grateful,dj khaled,Jun 23 2017,0
129,129,129,a125,b3123,unapologetically,kelsea ballerini,Nov 3 2017,unapologetically,kelsea ballerini,Nov 3 2017,1
111,111,111,a11,b938,blue madonna,bØrns,Jan 12 2018,dopamine,bØrns,Oct 16 2015,0
166,166,166,a1450,b1825,ruminations,conor oberst,Oct 14 2016,ruminations,conor oberst,Oct 14 2016,1
417,417,417,a616,b2807,boomiverse,big boi,Jun 16 2017,boomiverse,big boi,Jun 16 2017,1
394,394,394,a42,b1528,the visitor,neil young,Dec 1 2017,earth,neil young,Jun 17 2016,0
40,40,40,a2228,b1314,everything you've come to expect,the last shadow puppets,Apr 1 2016,the wilderness,explosions in the sky,Apr 1 2016,0
274,274,274,a2196,b1345,hurt & the merciless,the heavy,Apr 8 2016,everybody's heart is broken now,niki and the dove,Apr 8 2016,0
357,357,357,a2845,b912,zipper down,eagles of death metal,Oct 2 2015,zipper down,eagles of death metal,Oct 2 2015,1
79,79,79,a555,b2541,silhouettes and statues: a gothic revolution 1978-1986 [box set],various artists,Jul 7 2017,the fate of the furious: the album,various artists,Apr 14 2017,0
313,313,313,a2528,b2652,still in a dream: a story of shoegaze,various artists,Jan 29 2016,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017,0
315,315,315,a2541,b1130,the waiting room,tindersticks,Jan 22 2016,the waiting room,tindersticks,Jan 22 2016,1
13,13,13,a1569,b553,"young as the morning, old as the sea",passenger,Sep 23 2016,whispers ii,passenger,Apr 20 2015,0
287,287,287,a2277,b1305,mind of mine,zayn,Mar 25 2016,mind of mine,zayn,Mar 25 2016,1
409,409,409,a581,b2843,the underside of power,algiers,Jun 23 2017,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017,0
494,494,494,a970,b2384,more life [mixtape],drake,Mar 18 2017,more life,drake,Mar 18 2017,0
228,228,228,a1822,b988,vulnicura live,björk,Jul 22 2016,vulnicura strings,björk,Nov 6 2015,0
161,161,161,a1432,b2003,lazarus [original cast recording],various artists,Oct 21 2016,the hamilton mixtape,various artists,Dec 2 2016,0
83,83,83,a630,b2355,pop makossa: invasive dance beat of cameroon,various artists,Jun 16 2017,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
497,497,497,a990,b2336,heartworms,the shins,Mar 10 2017,the navigator,hurray for the riff raff,Mar 10 2017,0
473,473,473,a890,b2522,love in the 4th dimension,the big moon,Apr 7 2017,the world we built,the wild reeds,Apr 7 2017,0
110,110,110,a1091,b2239,hard love,strand of oaks,Feb 17 2017,hard love,strand of oaks,Feb 17 2017,1
149,149,149,a1369,b1908,black america again,common,Nov 4 2016,black america again,common,Nov 4 2016,1
152,152,152,a1376,b1927,nightride [mixtape],tinashe,Nov 4 2016,nightride,tinashe,Nov 4 2016,0
16,16,16,a1641,b1682,skeleton tree,nick cave & the bad seeds,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
339,339,339,a2705,b365,vulnicura strings,björk,Nov 6 2015,vulnicura,björk,Jan 20 2015,0
109,109,109,a1083,b2234,highway queen,nikki lane,Feb 17 2017,highway queen,nikki lane,Feb 17 2017,1
352,352,352,a2814,b943,christine and the queens,christine and the queens,Oct 16 2015,the documentary 2.5,the game,Oct 16 2015,0
139,139,139,a1302,b2108,pc music volume 2,various artists,Nov 18 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
237,237,237,a1905,b1525,on my one,jake bugg,Jun 17 2016,on my one,jake bugg,Jun 17 2016,1
260,260,260,a2126,b3178,dj koze presents pampa vol. 1,various artists,Apr 29 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
419,419,419,a627,b2828,beautiful thugger girls,young thug,Jun 16 2017,beautiful thugger girls,young thug,Jun 16 2017,1
317,317,317,a2569,b1106,above the prairie,the pines,Jan 22 2016,a coliseum complex museum,the besnard lakes,Jan 22 2016,0
495,495,495,a981,b1055,rather you than me,rick ross,Mar 17 2017,black market,rick ross,Dec 4 2015,0
400,400,400,a471,b681,purgatory,tyler childers,Aug 4 2017,purgatory,borealis,Jun 19 2015,0
248,248,248,a2016,b1469,goodness,the hotelier,May 27 2016,the ride,catfish and the bottlemen,May 27 2016,0
386,386,386,a34,b3176,what makes you country,luke bryan,Dec 8 2017,what makes you country,luke bryan,Dec 8 2017,1
19,19,19,a1659,b1703,signs of light,the head and the heart,Sep 9 2016,atmosphères,"tigran hamasyan, arve henriksen, eivind aarset, and jan bang",Sep 9 2016,0
328,328,328,a2606,b1062,right on!,jenny lee,Dec 11 2015,right on!,jennylee,Dec 11 2015,1
296,296,296,a2325,b1290,feelin kinda free,the drones,Mar 18 2016,30 goes around the sun,the wonder stuff,Mar 18 2016,0
269,269,269,a2154,b1370,everybody's heart is broken now,niki and the dove,Apr 22 2016,universal monsters,the 69 eyes,Apr 22 2016,0
226,226,226,a1802,b321,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,shady xv,various artists,Nov 24 2014,0
414,414,414,a609,b2823,the nashville sound,jason isbell and the 400 unit,Jun 16 2017,rich forever 3,"rich the kid, famous dex and jay critch",Jun 16 2017,0
3,3,3,a1116,b320,new order presents be music,various artists,Feb 17 2017,i'll be home for christmas,various artists,Nov 24 2014,0
378,378,378,a2980,b820,"yours, dreamily",the arcs,Sep 4 2015,act iv: rebirth in reprise,the dear hunter,Sep 4 2015,0
125,125,125,a1210,b215,hang,foxygen,Jan 20 2017,...and star power,foxygen,Oct 14 2014,0
280,280,280,a2210,b1334,red flag,all saints,Apr 8 2016,red flag,all saints,Apr 8 2016,1
286,286,286,a2236,b1314,the  wilderness,explosions in the sky,Apr 1 2016,the wilderness,explosions in the sky,Apr 1 2016,1
77,77,77,a531,b1832,jungle rules,french montana,Jul 14 2017,mc4,french montana,Oct 14 2016,0
184,184,184,a1527,b1782,toy,yello,Sep 30 2016,toy,yello,Sep 30 2016,1
424,424,424,a654,b254,trouble maker,rancid,Jun 9 2017,honor is all we know,rancid,Oct 27 2014,0
477,477,477,a897,b2502,more scared of you than you are of me,the smith street band,Apr 7 2017,rake it in: the greatestest hits,me first and the gimme gimmes,Apr 7 2017,0
275,275,275,a2202,b1336,cleopatra,the lumineers,Apr 8 2016,call it what it is,ben harper & the innocent criminals,Apr 8 2016,0
294,294,294,a2322,b1290,up to anything,the goon sax,Mar 18 2016,30 goes around the sun,the wonder stuff,Mar 18 2016,0
436,436,436,a713,b2702,goths,the mountain goats,May 19 2017,the best of... so far,the kooks,May 19 2017,0
182,182,182,a1510,b1791,mothership,dance gavin dance,Oct 7 2016,mothership,dance gavin dance,Oct 7 2016,1
447,447,447,a765,b2647,the weather,pond,May 5 2017,the weather,pond,May 5 2017,1
80,80,80,a560,b3178,c88 [box set],various artists,Jul 7 2017,quality control: control the streets volume 1,various artists,Dec 8 2017,0
307,307,307,a2450,b2911,wise ol' man [ep],the fall,Feb 19 2016,new facts emerge,the fall,Jul 28 2017,0
258,258,258,a2126,b1953,dj koze presents pampa vol. 1,various artists,Apr 29 2016,christmas queens 2,various artists,Nov 11 2016,0
11,11,11,a1493,b150,requiem,goat,Oct 7 2016,commune,goat,Sep 23 2014,0
371,371,371,a2941,b861,back on top,the front bottoms,Sep 18 2015,back on top,the front bottoms,Sep 18 2015,1
86,86,86,a700,b2725,sgt. pepper's lonely hearts club band [50th anniversary edition deluxe version],the beatles,May 26 2017,different days,the charlatans,May 26 2017,0
266,266,266,a2145,b1752,another splash of colour: new psychedelia in britain 1980-1985 [box set],various artists,Apr 29 2016,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
36,36,36,a2133,b1388,waltzed in from the rumbling,plants and animals,Apr 29 2016,balter/saunier,"ensemble dal niente, marcos balter, and deerhoof",Apr 29 2016,0
480,480,480,a9,b1263,underworld,tonight alive,Jan 12 2018,limitless,tonight alive,Mar 4 2016,0
58,58,58,a2866,b2108,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,"she rocks, vol. 1",various artists,Jan 20 2017,0
41,41,41,a2254,b2887,psychopomp,japanese breakfast,Apr 1 2016,soft sounds from another planet,japanese breakfast,Jul 14 2017,0
270,270,270,a2160,b1371,always strive and prosper,a$ap ferg,Apr 22 2016,always strive and prosper,asap ferg,Apr 22 2016,1
50,50,50,a2600,b3117,royalty,chris brown,Dec 18 2015,heartbreak on a full moon,chris brown,Oct 31 2017,0
209,209,209,a1734,b137,partners,peter broderick,Aug 19 2016,partners,barbra streisand,Sep 16 2014,0
397,397,397,a454,b478,24-7 rockstar shit,the cribs,Aug 11 2017,for all my sisters,the cribs,Mar 23 2015,0
410,410,410,a582,b2832,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017,the underside of power,algiers,Jun 23 2017,0
416,416,416,a614,b2823,abysmal thoughts,the drums,Jun 16 2017,rich forever 3,"rich the kid, famous dex and jay critch",Jun 16 2017,0
123,123,123,a1205,b2134,piano song,matthew shipp,Jan 27 2017,piano song,matthew shipp trio,Jan 27 2017,1
222,222,222,a18,b3183,revival,eminem,Dec 15 2017,revival,eminem,Dec 15 2017,1
62,62,62,a2922,b854,"imani, vol. 1",blackalicious,Sep 18 2015,imani vol. 1,blackalicious,Sep 18 2015,1
377,377,377,a298,b3020,the spark,enter shikari,Sep 22 2017,the spark,enter shikari,Sep 22 2017,1
130,130,130,a1255,b2008,fireplace: thenottheotherside,hodgy,Dec 23 2016,fireplace: thenottheotherside,hodgy,Dec 9 2016,1
187,187,187,a1573,b1026,campaign [mixtape],ty dolla $ign,Sep 23 2016,free tc,ty dolla $ign,Nov 13 2015,0
23,23,23,a1917,b461,friday night [live],will butler,Jun 17 2016,policy,will butler,Mar 10 2015,0
43,43,43,a2325,b1280,feelin kinda free,the drones,Mar 18 2016,gather up the chaps,the falcon,Mar 18 2016,0
441,441,441,a741,b2694,reaching into infinity,dragonforce,May 19 2017,reaching into infinity,dragonforce,May 19 2017,1
0,0,0,a1024,b2294,world eater,blanck mass,Mar 3 2017,world eater,blanck mass,Mar 3 2017,1
201,201,201,a1688,b1653,total depravity,the veils,Aug 26 2016,air,frode haltli with the trondheim soloists and arditti quartet,Aug 26 2016,0
368,368,368,a2900,b886,evermore: the art of duality,the underachievers,Sep 25 2015,space 1992: rise of the chaos wizards,gloryhammer,Sep 25 2015,0
426,426,426,a666,b2751,waiting on a song,dan auerbach,Jun 2 2017,waiting on a song,dan auerbach,Jun 2 2017,1
98,98,98,a936,b2399,damage and joy,the jesus and mary chain,Mar 24 2017,souvenir,drew holcomb and the neighbors,Mar 24 2017,0
349,349,349,a2787,b943,Òran mòr session,the twilight sad,Oct 16 2015,the documentary 2.5,the game,Oct 16 2015,0
304,304,304,a2412,b2892,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
487,487,487,a918,b1444,triplicate,bob dylan,Mar 31 2017,fallen angels,bob dylan,May 20 2016,0
178,178,178,a1502,b1818,friends,white lies,Oct 7 2016,friends,white lies,Oct 7 2016,1
369,369,369,a2902,b114,1989,ryan adams,Sep 21 2015,ryan adams,ryan adams,Sep 8 2014,0
256,256,256,a2102,b1401,hopelessness,anohni,May 6 2016,hopelessness,anohni,May 6 2016,1
94,94,94,a899,b2520,wyw,wear your wounds,Apr 7 2017,wyw,wear your wounds,Apr 7 2017,1
465,465,465,a872,b2467,silver/lead,wire,Apr 7 2017,silver/lead,wire,Mar 31 2017,1
95,95,95,a904,b2518,thunder of the gods,sun ra,Apr 7 2017,the assassination of julius caesar,ulver,Apr 7 2017,0
442,442,442,a746,b2672,super natural,jim jones & the righteous mind,May 12 2017,thankful,new kids on the block,May 12 2017,0
169,169,169,a1454,b1830,ii,the early years,Oct 14 2016,dissociation,the dillinger escape plan,Oct 14 2016,0
69,69,69,a353,b677,hitchhiker,neil young,Sep 8 2017,the monsanto years,neil young,Jun 16 2015,0
305,305,305,a2440,b1210,banshee,the cave singers,Feb 19 2016,in my mind,bj the chicago kid,Feb 19 2016,0
48,48,48,a2587,b1092,i long to see you,charles lloyd,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016,1
341,341,341,a2710,b2401,"and after that, we didn't talk",goldlink,Nov 6 2015,at what cost,goldlink,Mar 24 2017,0
373,373,373,a2950,b837,paper gods,duran duran,Sep 11 2015,paper gods,duran duran,Sep 11 2015,1
207,207,207,a1709,b1630,furnaces,ed harcourt,Aug 19 2016,furnaces,ed harcourt,Aug 19 2016,1
279,279,279,a2206,b1344,man about town,mayer hawthorne,Apr 8 2016,man about town,mayer hawthorne,Apr 8 2016,1
227,227,227,a1817,b2729,everybody looking,gucci mane,Jul 22 2016,droptopwop,gucci mane,May 26 2017,0
148,148,148,a1366,b331,heavy entertainment show,robbie williams,Nov 4 2016,under the radar volume 1,robbie williams,Dec 8 2014,0
143,143,143,a1322,b1949,jessica rabbit,sleigh bells,Nov 11 2016,jessica rabbit,sleigh bells,Nov 11 2016,1
334,334,334,a2632,b1042,skeletons,danzig,Nov 27 2015,skeletons,danzig,Nov 27 2015,1
180,180,180,a1507,b1788,in the now,barry gibb,Oct 7 2016,in the now,barry gibb,Oct 7 2016,1
356,356,356,a2836,b192,adrenalin baby: live,johnny marr,Oct 9 2015,playland,johnny marr,Oct 6 2014,0
131,131,131,a1264,b2014,peace trail,neil young,Dec 9 2016,peace trail,neil young,Dec 9 2016,1
462,462,462,a860,b2541,the meetings of the waters,fionn regan,Apr 14 2017,the fate of the furious: the album,various artists,Apr 14 2017,0
498,498,498,a990,b2343,heartworms,the shins,Mar 10 2017,50 song memoir,the magnetic fields,Mar 10 2017,0
262,262,262,a2130,b1384,paging mr. proust,the jayhawks,Apr 29 2016,ocean by ocean,the boxer rebellion,Apr 29 2016,0
324,324,324,a2596,b1067,purple,baroness,Dec 18 2015,purple,baroness,Dec 18 2015,1
203,203,203,a1701,b1648,e-mo-tion side b [ep],carly rae jepsen,Aug 26 2016,emotion: side b,carly rae jepsen,Aug 26 2016,1
84,84,84,a65,b3147,(it was) because i was in love [deluxe reissue],sharon van etten,Nov 17 2017,if all i was was black,mavis staples,Nov 17 2017,0
121,121,121,a1202,b2128,talk about that,john mayall,Jan 27 2017,"no rain, no rose",john craigie,Jan 27 2017,0
482,482,482,a905,b1953,resistance radio: the man in the high castle album,various artists,Apr 7 2017,christmas queens 2,various artists,Nov 11 2016,0
434,434,434,a711,b321,singles [original motion picture soundtrack] [deluxe edition],various artists,May 19 2017,shady xv,various artists,Nov 24 2014,0
460,460,460,a853,b2558,charlie watts meets the danish radio big band [live],charlie watts,Apr 21 2017,beginning of things,charlie worsham,Apr 21 2017,0
454,454,454,a83,b3143,diggin in the carts: a collection of pioneering japanese video game music,various artists,Nov 17 2017,the rest of our life,faith hill and tim mcgraw,Nov 17 2017,0
384,384,384,a317,b3024,brand new abyss,the blow,Sep 22 2017,wonderful wonderful,the killers,Sep 22 2017,0
91,91,91,a815,b2608,visuals,mew,Apr 28 2017,visuals,mew,Apr 28 2017,1
82,82,82,a630,b2003,pop makossa: invasive dance beat of cameroon,various artists,Jun 16 2017,the hamilton mixtape,various artists,Dec 2 2016,0
267,267,267,a2145,b2108,another splash of colour: new psychedelia in britain 1980-1985 [box set],various artists,Apr 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
119,119,119,a1177,b373,live in paris,sleater-kinney,Jan 27 2017,no cities to love,sleater-kinney,Jan 20 2015,0
358,358,358,a2866,b2355,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
291,291,291,a2303,b2205,star wars headspace,various artists,Mar 18 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
57,57,57,a2823,b928,surrender,hurts,Oct 9 2015,surrender,hurts,Oct 9 2015,1
321,321,321,a2578,b1719,curve of the earth,mystery jets,Jan 15 2016,the whole earth,mystery jets,Sep 16 2016,0
257,257,257,a212,b2843,sketches of brunswick east,king gizzard & the lizard wizard,Oct 13 2017,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017,0
376,376,376,a2972,b178,hitnrun: phase one,prince,Sep 7 2015,art official age,prince,Sep 30 2014,0
446,446,446,a761,b2574,"sing it high, sing it low: tumbleweed records 1971-1973",various artists,May 12 2017,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
42,42,42,a2300,b1288,"barbara barbara, we face a shining future",underworld,Mar 18 2016,"barbara barbara, we face a shining future",underworld,Mar 18 2016,1
105,105,105,a1049,b2260,in between,the feelies,Feb 24 2017,in between,the feelies,Feb 24 2017,1
388,388,388,a353,b677,hitchhiker,neil young,Sep 8 2017,the monsanto years,neil young,Jun 16 2015,0
467,467,467,a875,b2512,whiteout conditions,the new pornographers,Apr 7 2017,more scared of you than you are of me,the smith street band,Apr 7 2017,0
273,273,273,a2196,b1336,hurt & the merciless,the heavy,Apr 8 2016,call it what it is,ben harper & the innocent criminals,Apr 8 2016,0
444,444,444,a759,b2659,the bob's burgers music album [original television soundtrack],original soundtrack,May 12 2017,kickin' child: the lost album 1965,dion,May 12 2017,0
38,38,38,a2198,b1337,gore,deftones,Apr 8 2016,gore,deftones,Apr 8 2016,1
389,389,389,a354,b2990,hippopotamus,sparks,Sep 8 2017,hippopotamus,sparks,Sep 8 2017,1
53,53,53,a2731,b2355,joy of living: a tribute to ewan maccoll,various artists,Oct 30 2015,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
420,420,420,a630,b2574,pop makossa: invasive dance beat of cameroon,various artists,Jun 16 2017,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
437,437,437,a713,b2706,goths,the mountain goats,May 19 2017,goths,the mountain goats,May 19 2017,1
128,128,128,a1249,b2040,echolocation,gone is gone,Jan 6 2017,echolocation,gone is gone,Jan 6 2017,1
290,290,290,a229,b641,pinewood smile,the darkness,Oct 6 2017,last of our kind,the darkness,Jun 1 2015,0
28,28,28,a20,b2329,pop 2 [mixtape],charli xcx,Dec 15 2017,number 1 angel,charli xcx,Mar 10 2017,0
183,183,183,a1523,b970,american band,drive-by truckers,Sep 30 2016,it's great to be alive!,drive-by truckers,Oct 30 2015,0
370,370,370,a2909,b859,rattle that lock,david gilmour,Sep 18 2015,digital vein,david cook,Sep 18 2015,0
163,163,163,a1432,b2574,lazarus [original cast recording],various artists,Oct 21 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
151,151,151,a1371,b1911,older terrors,esben and the witch,Nov 4 2016,through the years: the best of the fray,the fray,Nov 4 2016,0
244,244,244,a2008,b1469,the ride,catfish & the bottlemen,May 27 2016,the ride,catfish and the bottlemen,May 27 2016,1
202,202,202,a1689,b1647,glory,britney spears,Aug 26 2016,glory,britney spears,Aug 26 2016,1
31,31,31,a2062,b1426,coloring book [mixtape],chance the rapper,May 13 2016,coloring book,chance the rapper,May 13 2016,0
32,32,32,a2079,b1435,cloud nine,kygo,May 13 2016,cloud nine,kygo,May 13 2016,1
127,127,127,a1229,b2070,oczy mlody,the flaming lips,Jan 13 2017,feel your feelings fool!,the regrettes,Jan 13 2017,0
185,185,185,a1548,b1756,bounce,the english beat,Sep 30 2016,five,the agonist,Sep 30 2016,0
470,470,470,a887,b2518,the  assassination of julius caesar,ulver,Apr 7 2017,the assassination of julius caesar,ulver,Apr 7 2017,1
449,449,449,a792,b1020,everybody,logic,May 5 2017,the incredible true story,logic,Nov 13 2015,0
288,288,288,a2281,b1291,jomsviking,amon amarth,Mar 25 2016,jomsviking,amon amarth,Mar 25 2016,1
423,423,423,a653,b2799,ctrl,sza,Jun 9 2017,ctrl,sza,Jun 9 2017,1
398,398,398,a470,b301,"manchester, north of england: a story of independent music, greater manchester 1977-1993 [box set]",various artists,Aug 4 2017,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014,0
456,456,456,a832,b2571,be myself,sheryl crow,Apr 21 2017,be myself,sheryl crow,Apr 21 2017,1
147,147,147,a1366,b1923,heavy entertainment show,robbie williams,Nov 4 2016,the heavy entertainment show,robbie williams,Nov 4 2016,1
285,285,285,a2230,b1310,iv,black mountain,Apr 1 2016,kentucky,black stone cherry,Apr 1 2016,0
466,466,466,a874,b2491,pure comedy,father john misty,Apr 7 2017,pure comedy,father john misty,Apr 7 2017,1
177,177,177,a1477,b793,mad love,jojo,Oct 14 2016,iii.,jojo,Aug 21 2015,0
99,99,99,a997,b2338,everybody works,jay som,Mar 10 2017,everybody works,jay som,Mar 10 2017,1
338,338,338,a2668,b989,heart blanche,cee lo green,Nov 13 2015,heart blanche,ceelo green,Nov 6 2015,1
448,448,448,a777,b588,"from a room, vol. 1",chris stapleton,May 5 2017,traveller,chris stapleton,May 5 2015,0
431,431,431,a697,b2731,the amazons,the amazons,May 26 2017,pain,the letter black,May 26 2017,0
335,335,335,a2642,b1037,saint cecilia ep,foo fighters,Nov 23 2015,saint cecilia,foo fighters,Nov 23 2015,0
197,197,197,a1659,b1688,signs of light,the head and the heart,Sep 9 2016,signs of light,the head and the heart,Sep 9 2016,1
243,243,243,a2000,b1467,kidsticks,beth orton,May 27 2016,kidsticks,beth orton,May 27 2016,1
464,464,464,a862,b2265,the search for everything,john mayer,Apr 14 2017,the search for everything: wave two,john mayer,Feb 24 2017,0
115,115,115,a1116,b2892,new order presents be music,various artists,Feb 17 2017,punk goes pop vol. 7,various artists,Jul 14 2017,0
404,404,404,a531,b1832,jungle rules,french montana,Jul 14 2017,mc4,french montana,Oct 14 2016,0
265,265,265,a2139,b2384,views,drake,Apr 29 2016,more life,drake,Mar 18 2017,0
72,72,72,a433,b688,a fever dream,everything everything,Aug 18 2017,get to heaven,everything everything,Jun 22 2015,0
333,333,333,a263,b454,now,shania twain,Sep 29 2017,still the one: live from vegas,shania twain,Mar 3 2015,0
25,25,25,a1926,b1507,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
165,165,165,a1443,b1874,the musical mojo of dr. john: celebrating mac & his music [live],dr. john,Oct 21 2016,the greatest gift of all,rascal flatts,Oct 21 2016,0
337,337,337,a2660,b3146,paper mâché dream balloon,king gizzard & the lizard wizard,Nov 13 2015,polygondwanaland,king gizzard & the lizard wizard,Nov 17 2017,0
483,483,483,a905,b2108,resistance radio: the man in the high castle album,various artists,Apr 7 2017,"she rocks, vol. 1",various artists,Jan 20 2017,0
