,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
451,451,451,a820,b315,strength of a woman,mary j. blige,Apr 28 2017,the london sessions,mary j. blige,Nov 24 2014,0
353,353,353,a2828,b3183,revival,selena gomez,Oct 9 2015,revival,eminem,Dec 15 2017,0
238,238,238,a1924,b1519,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,thick as thieves,the temper trap,Jun 10 2016,0
322,322,322,a2589,b1733,blackstar,david bowie,Jan 8 2016,who can i be now? (1974–1976),david bowie,Sep 23 2016,0
46,46,46,a2436,b1212,phase,jack garratt,Feb 19 2016,phase,jack garratt,Feb 19 2016,1
403,403,403,a507,b2900,lust for life,lana del rey,Jul 21 2017,lust for life,lana del rey,Jul 21 2017,1
221,221,221,a18,b2519,revival,eminem,Dec 15 2017,revival,vancouver sleep clinic,Apr 7 2017,0
76,76,76,a524,b2887,soft sounds from another planet,japanese breakfast,Jul 14 2017,soft sounds from another planet,japanese breakfast,Jul 14 2017,1
1,1,1,a1074,b2263,youngish american,dams of the west,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
213,213,213,a1753,b55,partynextdoor 3,partynextdoor,Aug 12 2016,partynextdoor two,partynextdoor,Jul 29 2014,0
325,325,325,a2599,b2023,speedin' bullet 2 heaven,kid cudi,Dec 18 2015,"passion, pain & demon slayin'",kid cudi,Dec 16 2016,0
418,418,418,a618,b1313,we're all alright!,cheap trick,Jun 16 2017,"bang, zoom, crazy... hello",cheap trick,Apr 1 2016,0
102,102,102,a1044,b3146,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,polygondwanaland,king gizzard & the lizard wizard,Nov 17 2017,0
363,363,363,a288,b3023,wonderful wonderful,the killers,Sep 22 2017,v,the horrors,Sep 22 2017,0
170,170,170,a1454,b1843,ii,the early years,Oct 14 2016,simple forms,the naked and famous,Oct 14 2016,0
343,343,343,a2731,b321,joy of living: a tribute to ewan maccoll,various artists,Oct 30 2015,shady xv,various artists,Nov 24 2014,0
144,144,144,a1330,b1932,long live the angels,emeli sandé,Nov 11 2016,the 1966 live recordings,bob dylan,Nov 11 2016,0
132,132,132,a1268,b2010,4 your eyez only,j. cole,Dec 9 2016,4 your eyez only,j. cole,Dec 9 2016,1
12,12,12,a152,b3113,beach house iii,ty dolla $ign,Oct 27 2017,beach house 3,ty dolla sign,Oct 27 2017,1
327,327,327,a2605,b993,art angels,grimes,Dec 11 2015,art angels,grimes,Nov 6 2015,1
173,173,173,a1469,b1821,these systems are failing,moby & the void pacific choir,Oct 14 2016,solas,the answer,Oct 14 2016,0
224,224,224,a1802,b1752,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
342,342,342,a2719,b169,get up,bryan adams,Oct 30 2015,tracks of my years,bryan adams,Sep 30 2014,0
78,78,78,a555,b2108,silhouettes and statues: a gothic revolution 1978-1986 [box set],various artists,Jul 7 2017,"she rocks, vol. 1",various artists,Jan 20 2017,0
276,276,276,a2202,b1342,cleopatra,the lumineers,Apr 8 2016,cleopatra,the lumineers,Apr 8 2016,1
387,387,387,a353,b2014,hitchhiker,neil young,Sep 8 2017,peace trail,neil young,Dec 9 2016,0
425,425,425,a66,b1902,blue lips,tove lo,Nov 17 2017,lady wood,tove lo,Oct 28 2016,0
301,301,301,a2391,b1238,99 cents,santigold,Feb 26 2016,99¢,santigold,Feb 26 2016,1
196,196,196,a1650,b1687,big mess,grouplove,Sep 9 2016,big mess,grouplove,Sep 9 2016,1
10,10,10,a1416,b1863,the serenity of suffering,korn,Oct 21 2016,the serenity of suffering,korn,Oct 21 2016,1
469,469,469,a885,b2499,double roses,karen elson,Apr 7 2017,double roses,karen elson,Apr 7 2017,1
271,271,271,a2162,b1374,asphalt for eden,dälek,Apr 22 2016,asphalt for eden,dälek,Apr 22 2016,1
75,75,75,a518,b2893,out in the storm,waxahatchee,Jul 14 2017,out in the storm,waxahatchee,Jul 14 2017,1
142,142,142,a1304,b862,woman,justice,Nov 18 2016,woman,jon stevens,Sep 18 2015,0
65,65,65,a2981,b831,the night creeper,uncle acid and the deadbeats,Sep 4 2015,no closer to heaven,the wonder years,Sep 4 2015,1
340,340,340,a2707,b996,one,kate boy,Nov 6 2015,one,kate boy,Nov 6 2015,1
484,484,484,a905,b2205,resistance radio: the man in the high castle album,various artists,Apr 7 2017,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
175,175,175,a1475,b321,say yes!: a tribute to elliott smith,various artists,Oct 14 2016,shady xv,various artists,Nov 24 2014,0
362,362,362,a2877,b1522,caracal,disclosure,Sep 25 2015,moog for love,disclosure,Jun 15 2016,0
264,264,264,a2131,b2029,the ship,brian eno,Apr 29 2016,reflection,brian eno,Jan 1 2017,0
100,100,100,a1027,b2314,volcano,temples,Mar 3 2017,volcano,temples,Mar 3 2017,1
491,491,491,a942,b2404,kelly lee owens,kelly lee owens,Mar 24 2017,we got love,the kelly family,Mar 24 2017,0
295,295,295,a2325,b1280,feelin kinda free,the drones,Mar 18 2016,gather up the chaps,the falcon,Mar 18 2016,0
300,300,300,a2377,b1261,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,fowl play,sister sparrow and the dirty birds,Mar 4 2016,0
235,235,235,a1896,b2976,atomic,mogwai,Jun 17 2016,every country's sun,mogwai,Sep 1 2017,0
475,475,475,a895,b2512,memories: do not open,the chainsmokers,Apr 7 2017,more scared of you than you are of me,the smith street band,Apr 7 2017,0
219,219,219,a1793,b1596,"anyway you love, we know how you feel",the chris robinson brotherhood,Jul 29 2016,simplicity,the bouncing souls,Jul 29 2016,0
330,330,330,a2615,b2882,a head full of dreams,coldplay,Dec 4 2015,kaleidoscope,coldplay,Jul 14 2017,0
326,326,326,a2603,b1065,hitnrun: phase two,prince,Dec 12 2015,hit n run phase two,prince,Dec 12 2015,1
421,421,421,a643,b2784,chuck,chuck berry,Jun 9 2017,chuck,chuck berry,Jun 9 2017,1
157,157,157,a1404,b1992,the stage,avenged sevenfold,Oct 28 2016,the best of 2005–2013,avenged sevenfold,Dec 2 2016,0
348,348,348,a2782,b947,vega intl. night school,neon indian,Oct 16 2015,vega intl. night school,neon indian,Oct 16 2015,1
54,54,54,a2731,b320,joy of living: a tribute to ewan maccoll,various artists,Oct 30 2015,i'll be home for christmas,various artists,Nov 24 2014,0
220,220,220,a1793,b1601,"anyway you love, we know how you feel",the chris robinson brotherhood,Jul 29 2016,block wars,the game,Jul 29 2016,0
402,402,402,a506,b2906,barefoot in the head,the chris robinson brotherhood,Jul 21 2017,flower boy,"tyler, the creator",Jul 21 2017,0
379,379,379,a2981,b831,the night creeper,uncle acid and the deadbeats,Sep 4 2015,no closer to heaven,the wonder years,Sep 4 2015,0
200,200,200,a1687,b1643,los niños sin miedo,the parrots,Aug 26 2016,between waves,the album leaf,Aug 26 2016,0
179,179,179,a1504,b1817,13 voices,sum 41,Oct 7 2016,13 voices,sum 41,Oct 7 2016,1
372,372,372,a2946,b863,strangers again,judy collins,Sep 18 2015,strangers again,judy collins,Sep 18 2015,1
56,56,56,a2799,b1833,the documentary 2.5,the game,Oct 16 2015,1992,the game,Oct 14 2016,0
440,440,440,a731,b2691,move upstairs,the como mamas,May 19 2017,in the rude!,the basics,May 19 2017,0
60,60,60,a2882,b883,dodge and burn,the dead weather,Sep 25 2015,dodge and burn,the dead weather,Sep 25 2015,1
208,208,208,a173,b327,iii,makthaverskan,Oct 20 2017,iii,take that,Dec 1 2014,0
107,107,107,a1061,b2284,gang signs & prayer,stormzy,Feb 24 2017,gang signs & prayer,stormzy,Feb 24 2017,1
336,336,336,a2660,b2266,paper mâché dream balloon,king gizzard & the lizard wizard,Nov 13 2015,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,0
71,71,71,a428,b2963,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,be here now,the mynabirds,Aug 25 2017,0
474,474,474,a891,b239,l.a. divine,cold war kids,Apr 7 2017,hold my home,cold war kids,Oct 21 2014,0
6,6,6,a1208,b1780,epoch,tycho,Jan 20 2017,epoch,tycho,Sep 30 2016,1
412,412,412,a597,b2892,behind the counter with max richter,various artists,Jun 23 2017,punk goes pop vol. 7,various artists,Jul 14 2017,0
113,113,113,a1116,b2574,new order presents be music,various artists,Feb 17 2017,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
236,236,236,a1904,b1505,say yes,big deal,Jun 17 2016,say yes,big deal,Jun 10 2016,1
299,299,299,a2367,b1254,long way home,låpsley,Mar 4 2016,long way home,låpsley,Mar 4 2016,1
155,155,155,a1395,b1900,brotherhood of the snake,testament,Oct 28 2016,brotherhood of the snake,testament,Oct 28 2016,1
272,272,272,a219,b3057,as you were,liam gallagher,Oct 6 2017,as you were,liam gallagher,Oct 6 2017,1
7,7,7,a1260,b3067,the return of east atlanta santa,gucci mane,Dec 16 2016,mr. davis,gucci mane,Oct 13 2017,0
137,137,137,a1301,b2205,pop ambient 2017,various artists,Nov 25 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
8,8,8,a1264,b1528,peace trail,neil young,Dec 9 2016,earth,neil young,Jun 17 2016,0
463,463,463,a862,b2097,the search for everything,john mayer,Apr 14 2017,the search for everything: wave one,john mayer,Jan 20 2017,0
432,432,432,a704,b2729,droptopwop [mixtape],gucci mane,May 26 2017,droptopwop,gucci mane,May 26 2017,0
375,375,375,a2969,b838,gone by the dawn,shannon and the clams,Sep 11 2015,hollywood vampires,the hollywood vampires,Sep 11 2015,0
284,284,284,a2228,b1317,everything you've come to expect,the last shadow puppets,Apr 1 2016,hurt & the merciless,the heavy,Apr 1 2016,0
210,210,210,a1748,b1625,your wilderness,the pineapple thief,Aug 12 2016,your wilderness,the pineapple thief,Aug 12 2016,1
188,188,188,a1592,b818,shape shift with me,against me!,Sep 16 2016,23 live sex acts,against me!,Sep 4 2015,0
430,430,430,a692,b2759,journey to the mountain of forever,binker & moses,Jun 2 2017,the transition of mali,mali music,Jun 2 2017,0
49,49,49,a2589,b2046,blackstar,david bowie,Jan 8 2016,no plan,david bowie,Jan 8 2017,0
134,134,134,a1269,b3178,action time vision: a story of independent u.k. punk 1976-1979 [box set],various artists,Dec 9 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
365,365,365,a289,b3019,haiku from zero,cut copy,Sep 22 2017,haiku from zero,cut copy,Sep 22 2017,1
413,413,413,a602,b2806,fake sugar,beth ditto,Jun 16 2017,fake sugar,beth ditto,Jun 16 2017,1
239,239,239,a1933,b1513,patience,the invisible,Jun 10 2016,good times!,the monkees,Jun 10 2016,0
59,59,59,a2866,b320,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,i'll be home for christmas,various artists,Nov 24 2014,0
406,406,406,a567,b2862,4:44,jay-z,Jun 30 2017,4:44,jay-z,Jun 30 2017,1
391,391,391,a4,b359,a day with the homies [ep],panda bear,Jan 12 2018,panda bear meets the grim reaper,panda bear,Jan 13 2015,0
411,411,411,a597,b1752,behind the counter with max richter,various artists,Jun 23 2017,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
485,485,485,a905,b2892,resistance radio: the man in the high castle album,various artists,Apr 7 2017,punk goes pop vol. 7,various artists,Jul 14 2017,0
229,229,229,a1823,b1052,late nights: europe [mixtape],jeremih,Jul 20 2016,late nights,jeremih,Dec 4 2015,0
297,297,297,a2335,b1271,painkillers,brian fallon,Mar 11 2016,painkillers,brian fallon,Mar 11 2016,1
55,55,55,a2749,b2355,"ork records: new york, new york",various artists,Oct 30 2015,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
293,293,293,a2312,b2635,compassion,lust for youth,Mar 18 2016,compassion,forest swords,May 5 2017,0
490,490,490,a937,b2403,interplanetary class classics,the moonlandingz,Mar 24 2017,damage and joy,the jesus and mary chain,Mar 24 2017,0
458,458,458,a846,b2575,you are we,while she sleeps,Apr 21 2017,you are we,while she sleeps,Apr 21 2017,1
457,457,457,a834,b2570,robyn hitchcock,robyn hitchcock,Apr 21 2017,robyn hitchcock,robyn hitchcock,Apr 21 2017,1
453,453,453,a83,b301,diggin in the carts: a collection of pioneering japanese video game music,various artists,Nov 17 2017,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014,0
186,186,186,a1571,b1733,who can i be now? (1974-1976) [box set],david bowie,Sep 23 2016,who can i be now? (1974–1976),david bowie,Sep 23 2016,1
194,194,194,a165,b2892,even a tree can shed tears: japanese folk & rock 1969-1973,various artists,Oct 20 2017,punk goes pop vol. 7,various artists,Jul 14 2017,0
52,52,52,a2719,b905,get up,bryan adams,Oct 30 2015,get up!,bryan adams,Oct 2 2015,1
74,74,74,a502,b2616,sacred hearts club,foster the people,Jul 21 2017,iii,foster the people,Apr 30 2017,0
26,26,26,a1932,b1507,breakin' point,peter bjorn and john,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
488,488,488,a923,b2433,let the dancers inherit the party,british sea power,Mar 31 2017,let the dancers inherit the party,british sea power,Mar 31 2017,1
4,4,4,a1143,b2171,process,sampha,Feb 3 2017,process,sampha,Feb 3 2017,1
318,318,318,a2571,b2226,purple reign [mixtape],future,Jan 16 2016,future,future,Feb 17 2017,0
331,331,331,a2624,b1058,blue neighbourhood,troye sivan,Dec 4 2015,blue neighbourhood,troye sivan,Dec 4 2015,1
245,245,245,a2008,b2457,the ride,catfish & the bottlemen,May 27 2016,the ride,nelly furtado,Mar 31 2017,0
5,5,5,a1183,b294,myths 002 [ep],ariel pink,Jan 27 2017,pom pom,ariel pink,Nov 17 2014,0
141,141,141,a1302,b301,pc music volume 2,various artists,Nov 18 2016,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014,0
383,383,383,a300,b3026,gemini,macklemore,Sep 22 2017,gemini,macklemore,Sep 22 2017,1
135,135,135,a1276,b2001,blue and lonesome,the rolling stones,Dec 2 2016,blue & lonesome,the rolling stones,Dec 2 2016,1
493,493,493,a955,b2402,the afterlove,james blunt,Mar 24 2017,the afterlove,james blunt,Mar 24 2017,1
122,122,122,a1202,b2141,talk about that,john mayall,Jan 27 2017,elegy,"theo bleckmann with ben monder, shai maestro, chris tordini, john hollenbeck",Jan 27 2017,0
22,22,22,a1801,b1599,major key,dj khaled,Jul 29 2016,major key,dj khaled,Jul 29 2016,1
68,68,68,a353,b1528,hitchhiker,neil young,Sep 8 2017,earth,neil young,Jun 17 2016,0
20,20,20,a1662,b1675,birds in the trap sing mcknight,travis scott,Sep 2 2016,birds in the trap sing mcknight,travis scott,Sep 2 2016,1
382,382,382,a2999,b321,µ20,various artists,Sep 4 2015,shady xv,various artists,Nov 24 2014,0
14,14,14,a1606,b1720,tidal wave,taking back sunday,Sep 16 2016,tidal wave,taking back sunday,Sep 16 2016,1
278,278,278,a2204,b1342,call it what it is,ben harper & the innocent criminals,Apr 8 2016,cleopatra,the lumineers,Apr 8 2016,0
225,225,225,a1802,b2574,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
64,64,64,a2980,b831,"yours, dreamily",the arcs,Sep 4 2015,no closer to heaven,the wonder years,Sep 4 2015,1
381,381,381,a2989,b77,rodeo,travis scott,Sep 4 2015,days before rodeo,travis scott,Aug 18 2014,0
231,231,231,a1861,b1555,the bride,bat for lashes,Jul 1 2016,the bride,bat for lashes,Jul 1 2016,1
81,81,81,a560,b321,c88 [box set],various artists,Jul 7 2017,shady xv,various artists,Nov 24 2014,0
401,401,401,a502,b2906,sacred hearts club,foster the people,Jul 21 2017,flower boy,"tyler, the creator",Jul 21 2017,0
302,302,302,a2405,b2892,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
499,499,499,a990,b2345,heartworms,the shins,Mar 10 2017,if not now then when,the motels,Mar 10 2017,0
471,471,471,a890,b2481,love in the 4th dimension,the big moon,Apr 7 2017,memories...do not open,the chainsmokers,Apr 7 2017,0
455,455,455,a83,b3178,diggin in the carts: a collection of pioneering japanese video game music,various artists,Nov 17 2017,quality control: control the streets volume 1,various artists,Dec 8 2017,0
160,160,160,a1432,b1752,lazarus [original cast recording],various artists,Oct 21 2016,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
478,478,478,a897,b2505,more scared of you than you are of me,the smith street band,Apr 7 2017,let me fly,mike + the mechanics,Apr 7 2017,0
364,364,364,a2889,b879,big grams [ep],big grams,Sep 25 2015,big grams,big grams (big boi and phantogram),Sep 25 2015,0
496,496,496,a981,b2377,rather you than me,rick ross,Mar 17 2017,rather you than me,rick ross,Mar 17 2017,1
206,206,206,a1708,b2064,endless,frank ocean,Aug 19 2016,endless,the mcclymonts,Jan 13 2017,0
319,319,319,a2572,b1092,confessions of a romance novelist,the anchoress,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016,0
51,51,51,a2707,b996,one,kate boy,Nov 6 2015,one,kate boy,Nov 6 2015,1
306,306,306,a2448,b1222,the  art of hustle,yo gotti,Feb 19 2016,the art of hustle,yo gotti,Feb 19 2016,0
452,452,452,a83,b2205,diggin in the carts: a collection of pioneering japanese video game music,various artists,Nov 17 2017,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
332,332,332,a2624,b72,blue neighbourhood,troye sivan,Dec 4 2015,trxye,troye sivan,Aug 15 2014,0
164,164,164,a1434,b1787,the false foundation,archive,Oct 21 2016,the false foundation,archive,Oct 7 2016,1
106,106,106,a1049,b2263,in between,the feelies,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
481,481,481,a9,b746,underworld,tonight alive,Jan 12 2018,underworld,symphony x,Jul 24 2015,0
63,63,63,a2965,b838,ropewalk,the view,Sep 11 2015,hollywood vampires,the hollywood vampires,Sep 11 2015,1
344,344,344,a2745,b975,vertigo,the necks,Oct 30 2015,wiped out!,the neighbourhood,Oct 30 2015,0
427,427,427,a683,b2755,hopeless fountain kingdom,halsey,Jun 2 2017,hopeless fountain kingdom,halsey,Jun 2 2017,1
439,439,439,a726,b2707,the king & i,faith evans and the notorious b.i.g.,May 19 2017,amber galactic,the night flight orchestra,May 19 2017,0
320,320,320,a2573,b1092,death of a bachelor,panic! at the disco,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016,0
89,89,89,a761,b320,"sing it high, sing it low: tumbleweed records 1971-1973",various artists,May 12 2017,i'll be home for christmas,various artists,Nov 24 2014,0
312,312,312,a2528,b2108,still in a dream: a story of shoegaze,various artists,Jan 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
450,450,450,a804,b509,carrie & lowell live,sufjan stevens,Apr 28 2017,carrie & lowell,sufjan stevens,Mar 31 2015,0
93,93,93,a897,b2508,more scared of you than you are of me,the smith street band,Apr 7 2017,whiteout conditions,the new pornographers,Apr 7 2017,0
298,298,298,a2360,b1803,full circle,loretta lynn,Mar 4 2016,white christmas blue,loretta lynn,Oct 7 2016,0
459,459,459,a85,b212,i knew you when,bob seger,Nov 17 2017,ride out,bob seger,Oct 14 2014,0
308,308,308,a2463,b1190,k 2.0,kula shaker,Feb 12 2016,k2.0,kula shaker,Feb 12 2016,0
395,395,395,a438,b2942,not dark yet,shelby lynne,Aug 18 2017,not dark yet,allison moorer and shelby lynne,Aug 18 2017,0
92,92,92,a895,b2505,memories: do not open,the chainsmokers,Apr 7 2017,let me fly,mike + the mechanics,Apr 7 2017,0
18,18,18,a1659,b1682,signs of light,the head and the heart,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
198,198,198,a1664,b1071,false readings on,eluvium,Sep 2 2016,life through bombardment vol. 2,eluvium,Dec 18 2015,0
145,145,145,a1353,b393,the 1966 live recordings [box set],bob dylan,Nov 11 2016,shadows in the night,bob dylan,Feb 3 2015,0
158,158,158,a1415,b1892,very kacey christmas,kacey musgraves,Oct 28 2016,a very kacey christmas,kacey musgraves,Oct 28 2016,1
150,150,150,a1371,b1906,older terrors,esben and the witch,Nov 4 2016,collage,the chainsmokers,Nov 4 2016,0
479,479,479,a898,b2498,every where is some where,k.flay,Apr 7 2017,every where is some where,k.flay,Apr 7 2017,1
167,167,167,a1453,b1833,dissociation,the dillinger escape plan,Oct 14 2016,1992,the game,Oct 14 2016,0
255,255,255,a2089,b1692,kin,the duke spirit,May 13 2016,kin,kt tunstall,Sep 9 2016,0
230,230,230,a1824,b1585,love & hate,michael kiwanuka,Jul 15 2016,love & hate,michael kiwanuka,Jul 15 2016,1
422,422,422,a65,b3147,(it was) because i was in love [deluxe reissue],sharon van etten,Nov 17 2017,if all i was was black,mavis staples,Nov 17 2017,0
66,66,66,a315,b3027,fabriclive 94,midland,Sep 22 2017,on the rocks,midland,Sep 22 2017,0
309,309,309,a2470,b727,evol,future,Feb 6 2016,ds2,future,Jul 17 2015,0
253,253,253,a2078,b1432,the concrete confessional,hatebreed,May 13 2016,the concrete confessional,hatebreed,May 13 2016,1
140,140,140,a1302,b2355,pc music volume 2,various artists,Nov 18 2016,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
101,101,101,a1037,b2297,freedom is free,chicano batman,Mar 3 2017,freedom is free,chicano batman,Mar 3 2017,1
433,433,433,a704,b3067,droptopwop [mixtape],gucci mane,May 26 2017,mr. davis,gucci mane,Oct 13 2017,0
2,2,2,a1094,b2236,terrible human beings,the orwells,Feb 17 2017,terrible human beings,the orwells,Feb 17 2017,1
408,408,408,a578,b2856,1967: sunshine tomorrow,the beach boys,Jun 30 2017,b-sides and rarities,beach house,Jun 30 2017,0
17,17,17,a1645,b1696,sea of noise,st. paul & the broken bones,Sep 9 2016,skeleton tree,nick cave and the bad seeds,Sep 9 2016,0
146,146,146,a1364,b1924,lodestar,shirley collins,Nov 4 2016,lodestar,shirley collins,Nov 4 2016,1
249,249,249,a2040,b1765,i still do,eric clapton,May 20 2016,live in san diego,eric clapton,Sep 30 2016,0
263,263,263,a2131,b1383,the ship,brian eno,Apr 29 2016,the ship,brian eno,Apr 29 2016,1
30,30,30,a2054,b1445,mayday,boys noize,May 20 2016,mayday,boys noize,May 20 2016,1
114,114,114,a1116,b2652,new order presents be music,various artists,Feb 17 2017,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017,0
247,247,247,a2015,b2958,27-Jul,fifth harmony,May 27 2016,fifth harmony,fifth harmony,Aug 25 2017,0
103,103,103,a1044,b3188,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,gumboot soup,king gizzard & the lizard wizard,Dec 31 2017,0
405,405,405,a562,b724,nothing is quick in the desert,public enemy,Jun 30 2017,man plans god laughs,public enemy,Jul 16 2015,0
310,310,310,a2478,b1173,commontime,field music,Feb 5 2016,commontime,field music,Feb 5 2016,1
176,176,176,a1477,b1072,mad love,jojo,Oct 14 2016,lovejo2,jojo,Dec 18 2015,0
246,246,246,a2013,b1482,the  home inside my head,real friends,May 27 2016,the home inside my head,real friends,May 27 2016,1
